brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
Coldwell Banker,lista para la venta,345865,1,2,1.7,Avenida de la Constitución 102,Alicante,Baleares,64533,117,2024-12-30
Realty One,lista para construir,2101774,1,2,1.46,Avenida Diagonal 53,Madrid,Murcia,18507,422,2024-05-03
Keller Williams,lista para construir,337170,2,1,1.71,Calle Serrano 46,Palma,Navarra,26719,71,2024-12-17
Compass,lista para la venta,693097,1,2,1.73,Calle Serrano 4,Gijón,Aragón,41689,257,2024-11-05
Berkshire Hathaway,lista para la venta,256625,2,1,0.58,Ronda de Valencia 185,Murcia,Valencia,68718,98,2024-01-24
eXp Realty,lista para construir,989291,1,2,1.49,Calle Alcalá 188,Gijón,País Vasco,51644,387,2023-08-20
eXp Realty,lista para la venta,860937,4,1,1.11,Calle Alcalá 102,Las Palmas,Andalucía,57631,341,2025-04-05
Compass,lista para construir,385771,2,2,0.56,Avenida Diagonal 22,Gijón,Murcia,88574,152,2023-09-07
Century 21,lista para construir,882404,4,2,0.4,Avenida Diagonal 44,Córdoba,Cataluña,11717,367,2025-04-08
Century 21,lista para construir,953356,3,1,0.92,Calle Alcalá 140,Alicante,Castilla y León,86025,420,2025-01-23
Keller Williams,lista para la venta,442464,4,1,0.6,Avenida de la Constitución 53,Murcia,Cataluña,50576,160,2024-10-20
Realty One,lista para construir,1112158,4,3,1.73,Ronda de Valencia 128,Valladolid,Canarias,53728,474,2025-04-17
Keller Williams,lista para construir,446806,6,1,0.48,Paseo de la Castellana 58,Valladolid,Navarra,12043,94,2025-04-09
Compass,lista para construir,1257194,5,3,1.7,Plaza del Sol 144,Madrid,Canarias,84847,225,2024-12-16
Realty One,lista para la venta,1183023,6,3,1.37,Calle Alcalá 30,Palma,Baleares,39340,476,2024-02-12
Keller Williams,lista para construir,1326943,4,2,1.22,Plaza España 9,Valencia,Cataluña,59196,400,2024-12-06
Coldwell Banker,lista para construir,1862354,1,2,1.03,Calle Alcalá 127,Madrid,Castilla y León,92119,396,2023-06-10
Century 21,lista para construir,670476,3,1,0.11,Plaza España 144,Madrid,Asturias,29176,116,2024-06-11
Berkshire Hathaway,lista para construir,775683,1,1,0.43,Plaza España 186,Sevilla,Murcia,51759,334,2024-04-14
Berkshire Hathaway,lista para construir,970257,3,3,1.94,Calle Alcalá 56,Barcelona,Baleares,61012,183,2024-09-14
Berkshire Hathaway,lista para construir,1061984,5,4,1.02,Calle Mayor 150,Palma,Navarra,38907,422,2024-09-14
Berkshire Hathaway,lista para construir,334706,1,1,1.16,Calle Gran Vía 115,Sevilla,País Vasco,82980,82,2024-07-14
RE/MAX,lista para construir,903760,1,2,0.41,Calle Mayor 185,Málaga,Cataluña,56069,315,2024-12-28
Realty One,lista para la venta,1220560,1,1,1.77,Calle Mayor 165,Madrid,Andalucía,90385,241,2025-03-21
RE/MAX,lista para la venta,956245,4,4,0.87,Ronda de Valencia 39,Barcelona,Extremadura,24413,192,2023-08-15
Coldwell Banker,lista para construir,552878,5,2,0.96,Avenida de la Constitución 91,Gijón,Baleares,67405,210,2023-11-11
Compass,lista para la venta,980467,4,3,1.65,Calle Serrano 73,Gijón,Asturias,68243,365,2023-06-18
Berkshire Hathaway,lista para construir,1482067,5,3,1.76,Ronda de Valencia 129,Madrid,Castilla y León,78343,284,2025-02-09
Sotheby's,lista para construir,869723,1,2,1.62,Plaza España 151,Málaga,Aragón,42966,274,2024-06-28
Coldwell Banker,lista para la venta,556728,5,4,1.9,Calle Gran Vía 85,Córdoba,Castilla y León,48728,133,2025-03-03
Compass,lista para la venta,1259619,2,1,0.91,Plaza del Sol 177,Barcelona,Extremadura,98092,261,2023-11-03
Berkshire Hathaway,lista para construir,593177,4,3,0.34,Calle Mayor 108,Córdoba,Asturias,16400,246,2023-07-15
Keller Williams,lista para la venta,844398,3,1,0.87,Paseo de la Castellana 154,Valencia,Murcia,83443,228,2024-12-29
eXp Realty,lista para construir,1172610,5,2,1.08,Avenida Diagonal 99,Murcia,Galicia,38672,484,2025-02-27
eXp Realty,lista para construir,1771472,4,3,1.89,Calle Serrano 126,Barcelona,Extremadura,57384,353,2023-12-29
RE/MAX,lista para construir,507875,6,1,0.71,Calle Serrano 15,Madrid,País Vasco,18530,65,2024-03-13
Berkshire Hathaway,lista para construir,583186,1,1,1.18,Plaza España 64,Murcia,Extremadura,61104,251,2023-09-06
Realty One,lista para construir,233079,1,1,0.62,Avenida de la Constitución 27,Málaga,País Vasco,98924,68,2025-03-25
Keller Williams,lista para construir,1120750,3,1,1.78,Ronda de Valencia 4,Zaragoza,Aragón,77823,492,2023-12-31
eXp Realty,lista para la venta,1020600,2,1,1.82,Avenida Diagonal 89,Valladolid,Extremadura,81088,399,2024-05-11
RE/MAX,lista para construir,924503,6,4,0.13,Calle Alcalá 101,Vigo,País Vasco,28611,343,2023-08-08
Sotheby's,lista para la venta,587073,3,2,1.07,Calle Mayor 37,Sevilla,Andalucía,19414,166,2025-02-11
RE/MAX,lista para construir,264502,1,1,0.37,Calle Gran Vía 148,Alicante,Extremadura,29913,74,2023-09-04
Sotheby's,lista para construir,904579,2,3,0.79,Calle Mayor 48,Madrid,Galicia,56497,172,2024-04-14
Sotheby's,lista para la venta,1106161,6,4,1.38,Avenida Diagonal 56,Valencia,País Vasco,20506,303,2024-09-13
Compass,lista para la venta,998416,1,2,0.36,Calle Alcalá 13,Valladolid,Extremadura,34389,438,2024-11-02
Coldwell Banker,lista para construir,216116,1,2,0.35,Avenida Diagonal 111,Valencia,Asturias,84649,58,2025-03-25
Compass,lista para la venta,2153499,6,2,0.21,Ronda de Valencia 25,Madrid,Asturias,30760,439,2024-03-20
Sotheby's,lista para la venta,749138,3,1,0.93,Plaza del Sol 149,Vigo,País Vasco,96257,299,2024-11-02
Coldwell Banker,lista para la venta,1851410,4,2,0.43,Calle Mayor 53,Barcelona,Murcia,16238,415,2023-09-17
RE/MAX,lista para la venta,645410,4,2,0.39,Plaza del Sol 123,Gijón,Andalucía,98710,248,2024-03-17
RE/MAX,lista para la venta,369741,1,2,0.52,Paseo de la Castellana 160,Valladolid,Castilla y León,84773,149,2023-08-09
Berkshire Hathaway,lista para construir,430700,2,3,1.45,Calle Alcalá 99,Madrid,Baleares,97044,69,2024-05-09
Compass,lista para la venta,547949,4,1,0.73,Plaza España 87,Barcelona,Extremadura,57128,90,2024-03-13
Realty One,lista para la venta,1435621,5,4,0.92,Calle Mayor 148,Valencia,Extremadura,41753,456,2025-03-29
Century 21,lista para construir,860152,5,4,1.77,Calle Mayor 109,Valladolid,Canarias,98653,276,2023-06-23
Century 21,lista para construir,484683,1,2,0.16,Plaza España 57,Barcelona,Galicia,98039,100,2024-02-15
Keller Williams,lista para la venta,402689,5,2,1.95,Calle Gran Vía 169,Murcia,Extremadura,76222,86,2024-04-06
Coldwell Banker,lista para la venta,961769,6,2,1.46,Paseo de la Castellana 196,Barcelona,Castilla y León,37489,162,2025-03-28
RE/MAX,lista para construir,435024,1,2,1.52,Plaza del Sol 196,Vigo,Murcia,49538,136,2025-01-20
